"feature_id","surface","source","route_or_entry","feature","user_story","expected_behavior","status","discovery_evidence","test_type","test_status","error_ids","fix_status","retest_status","owner_skill","last_updated","notes"
"WEB-HUB-001","web","apps/web/src/core/app/router.tsx","/","Hub home dashboard","As a returning or onboarded user, I want the root URL to show my hub dashboard so I can open modules and see app-level prompts.","Root route renders HubPage and then HubHomeView when storage is ready and onboarding is not required.","tested_passed","router.tsx root index -> HubPage; HubPage fallback branch -> HubHomeView","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-HUB-002","web","apps/web/src/core/app/StandaloneRoutes.tsx","/","Public landing for fresh visitors","As a fresh unauthenticated visitor, I want the root URL to show the landing page so I can decide whether to continue or sign in.","When auth is not loading, there is no user, storage is ready, and onboarding is required, / renders LandingPage.","tested_passed","StandaloneRoutes root entry renders LandingPage under shouldShowOnboarding","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ONBOARD-001","web","apps/web/src/core/onboarding/route.tsx","/onboarding/*","Onboarding route","As a first-time user, I want the onboarding flow to load on demand so I can configure the app without paying that bundle cost on every visit.","/onboarding/* lazy-loads WelcomeScreen and returns to / on completion.","tested_passed","router.tsx onboarding child; core/onboarding/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ONBOARD-002","web","apps/web/src/core/app/StandaloneRoutes.tsx","/welcome","Welcome cold-start flow","As a first-time user opening /welcome, I want to see onboarding only after storage readiness is known so returning users are not bounced into onboarding.","/welcome renders PageLoader until storageReady, redirects warm users to /, and renders WelcomeScreen for true first-run users.","tested_passed","StandaloneRoutes welcome entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-AUTH-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/sign-in","Sign-in page","As a user, I want /sign-in to show the auth form when I am logged out and redirect me home when I am already logged in.","/sign-in renders AuthPage for logged-out users and RedirectTo / once authLoading settles with a user.","tested_passed","StandaloneRoutes sign-in entry","playwright","passed","","not_started","not_started","better-auth-best-practices","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-AUTH-002","web","apps/web/src/core/app/StandaloneRoutes.tsx","/login /signin /auth","Auth aliases","As a user following an old auth link, I want login aliases to resolve to the canonical sign-in URL.","Alias paths hard redirect to /sign-in.","tested_passed","StandaloneRoutes SIGN_IN_ALIAS_PATHS entry","playwright","passed","","not_started","not_started","better-auth-best-practices","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-AUTH-003","web","apps/web/src/core/app/StandaloneRoutes.tsx","/reset-password","Reset password landing","As a user with a magic reset link, I want reset-password to render even if a session already exists so I can recover the intended account.","/reset-password renders ResetPasswordPage unconditionally.","tested_passed","StandaloneRoutes reset-password entry","playwright","passed","","not_started","not_started","better-auth-best-practices","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-PROFILE-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/profile","Legacy profile deep link","As a user with an old /profile link, I want it to send me to the current profile tab or sign-in if I am logged out.","/profile waits for auth, redirects logged-out users to /sign-in, and logged-in users to /?tab=profile.","tested_passed","StandaloneRoutes profile entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-PRICING-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/pricing","Pricing page","As a visitor, I want pricing to be publicly reachable so I can understand plans before signing up.","/pricing lazy-loads PricingPage without requiring auth.","tested_passed","StandaloneRoutes pricing entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-LEGAL-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/privacy /terms /cookies /offer","Legal pages","As a visitor, I want legal URLs to render the correct legal document so I can inspect privacy, terms, cookies, or offer details.","Legal path group lazy-loads LegalPage with the current pathname.","tested_passed","StandaloneRoutes legal entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-STATUS-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/status","Public service status","As a user or monitor, I want /status to be public so service health can be checked without a session.","/status lazy-loads StatusPage anonymously.","tested_passed","StandaloneRoutes status entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ASSISTANT-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/assistant","Assistant catalogue","As a user, I want a URL-addressable assistant catalogue so I can inspect available assistant capabilities and close back to the hub.","/assistant lazy-loads AssistantCataloguePage and receives onAssistantClose.","tested_passed","StandaloneRoutes assistant entry","playwright","passed","","not_started","not_started","sergeant-hubchat","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-CHAT-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/chat","Hub chat page","As a user, I want /chat to open HubChat directly so I can continue assistant conversation from a deep link.","/chat lazy-loads HubChatPage.","tested_passed","StandaloneRoutes chat entry","playwright","passed","","not_started","not_started","sergeant-hubchat","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build. Also covered by real-DB critical smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.smoke.config.ts --project chromium --grep @critical (17/17 passed)."
"WEB-NOTFOUND-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","unknown","Unknown route handling","As a user following a bad URL, I want a clear 404 instead of silently seeing the dashboard.","Unknown non-module paths render NotFoundPage; path-based module paths are exempted.","tested_passed","StandaloneRoutes unknown-path guard","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-DEV-001","web","apps/web/src/core/app/StandaloneRoutes.tsx","/design","Dev-only design showcase","As a developer, I want /design only in dev builds so internal design rules are not exposed in production.","/design renders DesignShowcase only when import.meta.env.DEV, otherwise NotFoundPage.","tested_passed","StandaloneRoutes design entry","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-001","web","apps/web/src/modules/finyk/route.tsx","/finyk/*","Finyk module shell","As a finance user, I want /finyk to lazy-load the finance module with back, settings, PWA actions, and module chrome.","/finyk/* renders ModuleShell moduleId=finyk and FinykApp through SuspenseWithMinDelay.","tested_passed","router.tsx finyk child; modules/finyk/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-002","web","apps/web/src/modules/finyk/components/finykNav.tsx","finyk:overview","Finyk overview","As a finance user, I want an overview tab so I can summarize balances and navigate into detailed finance areas.","Bottom nav exposes overview and FinykApp renders Overview for page=overview.","tested_passed","finykNav NAV_ITEMS overview; FinykApp renderPage overview","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-003","web","apps/web/src/modules/finyk/components/finykNav.tsx","finyk:transactions","Finyk transactions","As a finance user, I want a transactions tab so I can inspect and edit manual expenses.","Bottom nav exposes transactions; FinykApp renders Transactions and supports edit manual expense.","tested_passed","finykNav NAV_ITEMS transactions; FinykApp renderPage transactions","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-004","web","apps/web/src/modules/finyk/FinykApp.tsx","finyk:add-expense","Manual expense sheet","As a finance user, I want to add, edit, delete, and undo-delete manual expenses from relevant Finyk pages.","Floating action opens ManualExpenseSheet on overview/transactions/budgets; save/edit/delete update storage and show toast/undo.","tested_passed","FinykApp FloatingActionButton and ManualExpenseSheet handlers","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-005","web","apps/web/src/modules/finyk/components/finykNav.tsx","finyk:budgets","Finyk planning","As a finance user, I want a planning tab so I can manage budget limits and first-run monthly-plan guidance.","Bottom nav exposes budgets; first-run Finyk navigates to budgets and shows dismissible monthly-plan hint.","tested_passed","finykNav NAV_ITEMS budgets; FinykApp first-run effect and Budgets props","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-006","web","apps/web/src/modules/finyk/components/finykNav.tsx","finyk:analytics","Finyk analytics","As a finance user, I want analytics so I can understand spending patterns from available finance data.","Bottom nav exposes analytics and FinykApp renders Analytics.","tested_passed","finykNav NAV_ITEMS analytics; FinykApp renderPage analytics","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-007","web","apps/web/src/modules/finyk/components/finykNav.tsx","finyk:assets","Finyk assets","As a finance user, I want an assets tab so I can inspect stored assets while respecting balance visibility.","Bottom nav exposes assets and FinykApp renders Assets with showBalance state.","tested_passed","finykNav NAV_ITEMS assets; FinykApp renderPage assets","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FINYK-008","web","apps/web/src/modules/finyk/FinykApp.tsx","finyk:bank-connect","Monobank connect or manual-only mode","As a finance user, I want to connect Monobank or continue manually so I can use Finyk with or without bank integration.","NoBankBanner opens FinykLoginScreen or enables manual-only mode; successful connect closes login overlay.","tested_passed","FinykApp NoBankBanner, FinykLoginScreen, useMonobank","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FIZRUK-001","web","apps/web/src/modules/fizruk/route.tsx","/fizruk/*","Fizruk module shell","As a fitness user, I want /fizruk to lazy-load the fitness module with module chrome, back/settings, and PWA actions.","/fizruk/* renders ModuleShell moduleId=fizruk and FizrukApp through SuspenseWithMinDelay.","tested_passed","router.tsx fizruk child; modules/fizruk/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FIZRUK-002","web","apps/web/src/modules/fizruk/shell/fizrukNav.tsx","fizruk:dashboard","Fizruk dashboard","As a fitness user, I want an overview tab so I can see today's plan and start a programmed workout.","Fizruk bottom nav exposes dashboard and router renders Dashboard with program and today-session actions.","tested_passed","fizrukNav dashboard; FizrukRouter dashboard case","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FIZRUK-003","web","apps/web/src/modules/fizruk/shell/fizrukNav.tsx","fizruk:workouts","Fizruk workouts","As a fitness user, I want a workouts tab so I can create workouts and optionally open Routine from workout planning.","Fizruk bottom nav exposes workouts and router renders Workouts with onOpenRoutine and onOpenPrograms actions.","tested_passed","fizrukNav workouts; FizrukRouter workouts case","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FIZRUK-004","web","apps/web/src/modules/fizruk/shell/FizrukRouter.tsx","fizruk:programs","Fizruk programs","As a fitness user, I want programs so I can activate, deactivate, and start workouts from training programs.","Router renders Programs with activate/deactivate and onStartWorkout callbacks.","tested_passed","FizrukRouter programs case","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FIZRUK-005","web","apps/web/src/modules/fizruk/shell/FizrukRouter.tsx","fizruk:progress","Fizruk progress and measurements","As a fitness user, I want progress and measurements screens so I can track changes and drill into body measurements.","Bottom nav exposes progress; router renders Progress and can navigate to Measurements.","tested_passed","fizrukNav progress; FizrukRouter progress and measurements cases","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-FIZRUK-006","web","apps/web/src/modules/fizruk/shell/FizrukRouter.tsx","fizruk:body","Fizruk body atlas","As a fitness user, I want a body tab so I can open measurements or the exercise atlas.","Bottom nav exposes body; router renders Body with onOpenMeasurements and onOpenAtlas.","tested_passed","fizrukNav body; FizrukRouter body/atlas/exercise cases","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-NUTRITION-001","web","apps/web/src/modules/nutrition/route.tsx","/nutrition/*","Nutrition module shell","As a nutrition user, I want /nutrition to lazy-load the nutrition module with module chrome, back/settings, PWA actions, and pantry context.","/nutrition/* renders ModuleShell moduleId=nutrition and NutritionApp through SuspenseWithMinDelay.","tested_passed","router.tsx nutrition child; modules/nutrition/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-NUTRITION-002","web","apps/web/src/modules/nutrition/components/NutritionBottomNav.tsx","nutrition:start","Nutrition start overview","As a nutrition user, I want a start page so I can see nutrition guidance, quick-add meals, and photo analysis entrypoints.","Bottom nav exposes start; NutritionApp renders NutritionStartPage with day hints, photo card, add-meal request, and quick chips.","tested_passed","NutritionBottomNav start; NutritionApp activePage=start","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-NUTRITION-003","web","apps/web/src/modules/nutrition/components/NutritionBottomNav.tsx","nutrition:pantry","Nutrition pantry","As a nutrition user, I want a pantry page so I can manage pantry items, shopping lists, recipes, and barcode scans.","Bottom nav exposes pantry; NutritionApp renders NutritionPantryPage and NutritionOverlays can open pantry scanner.","tested_passed","NutritionBottomNav pantry; NutritionApp activePage=pantry and NutritionOverlays","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-NUTRITION-004","web","apps/web/src/modules/nutrition/components/NutritionBottomNav.tsx","nutrition:log","Nutrition meal journal","As a nutrition user, I want a journal so I can add, edit, remove, and review meals for the selected Kyiv date.","Bottom nav exposes log; NutritionApp renders NutritionLogPage and AddMealSheet is controlled through NutritionOverlays.","tested_passed","NutritionBottomNav log; NutritionApp activePage=log and wrappedSaveMeal","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-NUTRITION-005","web","apps/web/src/modules/nutrition/components/NutritionBottomNav.tsx","nutrition:menu","Nutrition menu planning","As a nutrition user, I want menu planning so I can generate day plans, week plans, recipes, and add planned meals to my log.","Bottom nav exposes menu; NutritionApp renders NutritionMenuPage with day plan, week plan, recipe recommendations, and first-run hint.","tested_passed","NutritionBottomNav menu; NutritionApp activePage=menu","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-NUTRITION-006","web","apps/web/src/modules/nutrition/NutritionApp.tsx","nutrition:backup-restore","Nutrition cloud backup and restore","As a nutrition user, I want backup and restore dialogs so I can protect or restore nutrition data.","NutritionOverlays receives backup password dialog, restore confirm, and cloud backup handlers.","tested_passed","NutritionApp useNutritionCloudBackup and NutritionOverlays props","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ROUTINE-001","web","apps/web/src/modules/routine/route.tsx","/routine/*","Routine module shell","As a routine user, I want /routine to lazy-load habits with module chrome, back/settings, PWA actions, and cross-module open support.","/routine/* renders ModuleShell moduleId=routine and RoutineApp through SuspenseWithMinDelay.","tested_passed","router.tsx routine child; modules/routine/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ROUTINE-002","web","apps/web/src/modules/routine/components/RoutineBottomNav.tsx","routine:calendar","Routine overview calendar","As a routine user, I want an overview calendar so I can see and complete habits for the current period.","Routine bottom nav exposes calendar and RoutineTimeline renders calendar data/actions.","tested_passed","RoutineBottomNav calendar; RoutineApp -> RoutineTimeline","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ROUTINE-003","web","apps/web/src/modules/routine/components/RoutineBottomNav.tsx","routine:stats","Routine statistics","As a routine user, I want a statistics tab so I can review streaks and habit progress.","Routine bottom nav exposes stats and RoutineTimeline receives mainTab and streak/calendar data.","tested_passed","RoutineBottomNav stats; RoutineApp -> RoutineTimeline","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-ROUTINE-004","web","apps/web/src/modules/routine/RoutineActions.tsx","routine:add-habit","Quick add habit","As a routine user, I want a quick-add habit dialog so I can create habits from the bottom action without leaving the timeline.","RoutineActions renders HabitQuickCreateDialog and RoutineBottomNav plus button opens it.","tested_passed","RoutineActions and RoutineBottomNav onAddHabit","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-INSIGHTS-001","web","apps/web/src/core/insights/route.tsx","/insights/*","Insights reports","As a user, I want /insights to show reports so I can review period-based cross-module summaries.","/insights/* renders a main landmark with sr-only h1 and lazy HubReports.","tested_passed","router.tsx insights child; core/insights/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"WEB-SETTINGS-001","web","apps/web/src/core/settings/route.tsx","/settings/*","Settings page","As a user, I want /settings to show hub settings so I can configure account and module settings.","/settings/* renders HubSettingsPage with the shell user.","tested_passed","router.tsx settings child; core/settings/route.tsx","playwright","passed","","not_started","not_started","sergeant-web-ui","2026-06-29","Covered by Playwright ledger browser smoke: pnpm --filter @sergeant/web exec playwright test --config playwright.ledger.config.ts --project chromium (49/49 passed); API mocked in browser, production preview build."
"API-HEALTH-001","server","apps/server/src/routes/health.ts","/livez /health/liveness","Liveness probe","As an operator, I want liveness probes to answer while the event loop is alive so the platform does not restart healthy processes.","Short and nested liveness aliases use livezHandler and should return liveness status without DB readiness requirements.","tested_passed","createHealthRouter liveness aliases","integration","passed","","not_started","not_started","sergeant-server-api","2026-06-29","Covered by server batch 2026-06-29"
"API-HEALTH-002","server","apps/server/src/routes/health.ts","/readyz /health /health/readiness","Readiness probe","As an operator, I want readiness probes to reflect DB availability so traffic only reaches ready instances.","Readiness aliases use createReadyzHandler(pool), returning success only when DB readiness passes.","tested_passed","createHealthRouter readyz aliases","integration","passed","","not_started","not_started","sergeant-server-api","2026-06-29","Covered by server batch 2026-06-29"
"API-HEALTH-003","server","apps/server/src/routes/health.ts","/startupz /health/startup","Startup probe","As an operator, I want startup probes to tell the platform when app.listen has completed so rollout health is accurate.","Startup aliases use startupzHandler and should report startup status separately from readiness.","tested_passed","createHealthRouter startup aliases","integration","passed","","not_started","not_started","sergeant-server-api","2026-06-29","Covered by server batch 2026-06-29"
"API-HEALTH-004","server","apps/server/src/routes/health.ts","/healthz /health/workers /metrics","Operational diagnostics","As an operator, I want detailed health, worker, and metrics endpoints so incidents can be diagnosed without touching product routes.","Healthz, worker health, and metrics are registered separately from platform probes.","tested_passed","createHealthRouter healthz workers metrics","integration","passed","","not_started","not_started","sergeant-server-api","2026-06-29","Covered by server batch 2026-06-29"
"API-ME-001","server","apps/server/src/routes/me.ts","/api/me","Current user profile","As an authenticated web or mobile user, I want /api/me to return my public account fields so clients can hydrate session-owned UI.","/api/me requires session and responds with MeResponseSchema using serialized public user fields.","tested_passed","createMeRouter GET /api/me","contract","passed","","not_started","not_started","sergeant-server-api","2026-06-29","Covered by server batch 2026-06-29"
"API-ME-002","server","apps/server/src/routes/me.ts","/api/me/preferences","User preferences read","As an authenticated user, I want to load my preferences so module and account settings persist across sessions.","GET /api/me/preferences requires session and returns UserPreferencesSchema from getUserPreferences.","tested_passed","createMeRouter GET /api/me/preferences","contract","passed","","not_started","not_started","sergeant-server-api","2026-06-29","Covered by server batch 2026-06-29"
